@relation HW9_TestingOneClassClassification_train

@attribute class {bot}
@attribute score_tag {P,NONE,N,NEU,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {SUBJECTIVE,OBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute joy numeric
@attribute surprise numeric
@attribute fear numeric
@attribute sadness numeric
@attribute anger numeric
@attribute urlsCount numeric
@attribute mentionsCount numeric
@attribute isRetweet numeric
@attribute wordsCount numeric
@attribute hashtagsCount numeric

@data
bot,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.396084,0.225889,0.150907,0.1299,0.097221,0,1,0,15,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.266352,0.210046,0.196987,0.168163,0.158452,0,0,0,1,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.657904,0.115426,0.083563,0.081704,0.061403,0,0,0,5,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.247317,0.232557,0.196268,0.179654,0.144203,0,1,0,3,0
bot,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.560804,0.208663,0.100969,0.066654,0.06291,0,0,0,23,0
bot,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.609033,0.319847,0.04312,0.023551,0.004449,0,0,0,24,1
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.419086,0.322713,0.135328,0.064162,0.058711,0,0,0,9,0
bot,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.615917,0.173442,0.089642,0.069613,0.051386,0,1,0,15,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.566103,0.192315,0.113801,0.113484,0.014297,0,1,0,12,0
bot,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.337634,0.265382,0.21149,0.162506,0.022988,0,0,0,19,0
bot,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.384233,0.287331,0.150582,0.098472,0.079382,0,1,1,21,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.444139,0.283886,0.111558,0.087616,0.072802,0,1,0,2,0
bot,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.363856,0.327616,0.176841,0.088337,0.043351,0,1,0,9,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.495805,0.306067,0.097422,0.073196,0.027509,0,0,0,18,0
bot,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.345556,0.258939,0.216512,0.120585,0.058408,0,1,0,11,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.280962,0.245041,0.20259,0.136551,0.134856,0,1,0,2,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.549459,0.306419,0.049466,0.049344,0.045311,0,1,0,3,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.377994,0.244086,0.198331,0.130288,0.049301,0,1,0,4,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.442769,0.269042,0.10515,0.093334,0.089705,0,1,0,2,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.409845,0.37551,0.117401,0.057958,0.039286,0,0,0,11,0
bot,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.391142,0.33732,0.180342,0.058448,0.032748,0,0,0,21,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.520804,0.293118,0.146109,0.031363,0.008607,2,3,1,11,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.291083,0.231956,0.226144,0.184396,0.066421,0,1,0,20,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.390918,0.253813,0.202481,0.087671,0.065118,0,0,0,10,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.37933,0.209689,0.166845,0.12553,0.118606,0,1,0,2,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.574405,0.186185,0.109084,0.108037,0.022289,0,0,0,8,1
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.375861,0.27022,0.170542,0.130265,0.053112,0,0,0,19,1
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.335286,0.26519,0.177294,0.11836,0.103871,0,0,0,16,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.332317,0.214697,0.186146,0.141542,0.125297,0,1,0,2,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.549459,0.306419,0.049466,0.049344,0.045311,0,1,0,3,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.222378,0.219347,0.212486,0.186567,0.159222,0,0,0,1,0
bot,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.346732,0.300427,0.173757,0.128045,0.051039,0,1,0,24,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.251811,0.251253,0.209073,0.205368,0.082494,0,1,0,20,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.269021,0.243679,0.225249,0.164605,0.097445,0,1,0,4,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.280587,0.258822,0.18794,0.143469,0.129182,0,0,0,12,0
bot,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.383683,0.359455,0.209116,0.030386,0.01736,0,1,0,15,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.282531,0.21716,0.192946,0.164956,0.142407,0,1,0,2,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.446381,0.194196,0.133029,0.115747,0.110647,0,1,0,2,0
bot,P+,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.569433,0.135962,0.110758,0.093274,0.090573,0,0,0,12,0
bot,N,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.586446,0.133274,0.101261,0.090524,0.088496,0,1,0,18,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.34123,0.313982,0.163456,0.123362,0.05797,0,1,0,3,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.273556,0.257547,0.247828,0.181408,0.039661,0,1,0,20,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.481914,0.401943,0.088829,0.022658,0.004656,1,1,1,11,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.266823,0.249047,0.165857,0.161655,0.156617,0,1,0,23,0
bot,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.510776,0.303463,0.132206,0.036944,0.016612,0,0,0,23,0
bot,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.608303,0.238512,0.109439,0.024347,0.019398,0,0,0,22,0
bot,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.382837,0.382368,0.135424,0.086515,0.012856,0,1,0,17,0
bot,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.667466,0.169725,0.061606,0.053599,0.047605,0,1,1,17,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.433559,0.339128,0.150501,0.050339,0.026472,0,1,0,12,0
