@relation KNN_Emotion_train

@attribute class {bot,human}
@attribute joy numeric
@attribute surprise numeric
@attribute fear numeric
@attribute sadness numeric
@attribute anger numeric

@data
bot,0.533012,0.214437,0.184788,0.059123,0.008639
bot,0.293651,0.245209,0.207053,0.153687,0.100399
bot,0.362454,0.188211,0.177267,0.155995,0.116073
bot,0.669185,0.222401,0.082557,0.014258,0.0116
bot,0.60884,0.181112,0.177557,0.027202,0.005289
bot,0.37933,0.209689,0.166845,0.12553,0.118606
bot,0.405535,0.163435,0.155701,0.149269,0.12606
bot,0.549459,0.306419,0.049466,0.049344,0.045311
bot,0.474742,0.406595,0.060399,0.032698,0.025565
bot,0.450381,0.359577,0.117314,0.047451,0.025278
bot,0.638604,0.293428,0.034359,0.017527,0.016083
bot,0.527088,0.164278,0.132172,0.116106,0.060357
bot,0.420163,0.257496,0.159227,0.117922,0.045193
bot,0.465276,0.182707,0.145757,0.130881,0.07538
bot,0.708495,0.164598,0.048151,0.04173,0.037025
bot,0.673637,0.140217,0.071144,0.064612,0.05039
bot,0.68143,0.161323,0.084834,0.05316,0.019254
bot,0.502076,0.29521,0.100471,0.053008,0.049234
bot,0.514639,0.424126,0.03532,0.016269,0.009646
bot,0.526121,0.175602,0.137099,0.092097,0.06908
bot,0.465272,0.241569,0.145519,0.107614,0.040026
bot,0.332317,0.214697,0.186146,0.141542,0.125297
bot,0.427979,0.308961,0.130612,0.078334,0.054114
bot,0.353909,0.194162,0.180521,0.140309,0.131099
bot,0.330616,0.245347,0.217514,0.107029,0.099495
bot,0.551144,0.165418,0.134518,0.101221,0.047698
bot,0.427753,0.289165,0.247126,0.024182,0.011774
bot,0.376528,0.24361,0.152467,0.115234,0.112161
bot,0.696562,0.175198,0.086075,0.038749,0.003416
bot,0.32154,0.312518,0.161163,0.121555,0.083223
bot,0.282531,0.21716,0.192946,0.164956,0.142407
bot,0.419759,0.392038,0.103349,0.051091,0.033763
bot,0.294028,0.244339,0.187165,0.161061,0.113406
bot,0.396538,0.370421,0.114791,0.100949,0.017301
bot,0.982854,0.01421,0.001811,0.000638,0.000487
bot,0.628907,0.197954,0.085248,0.046074,0.041817
bot,0.31829,0.211799,0.173769,0.157989,0.138154
bot,0.698932,0.118954,0.082615,0.068851,0.030648
bot,0.313351,0.277081,0.214738,0.120097,0.074733
bot,0.284158,0.272554,0.23698,0.17891,0.027399
bot,0.388919,0.316398,0.117789,0.08897,0.087924
bot,0.619695,0.148251,0.109351,0.068888,0.053815
bot,0.365756,0.270159,0.207391,0.11197,0.044725
bot,0.46299,0.227789,0.183476,0.091476,0.03427
bot,0.549459,0.306419,0.049466,0.049344,0.045311
bot,0.456983,0.336542,0.09786,0.088129,0.020486
bot,0.339109,0.303927,0.155324,0.125259,0.076381
bot,0.235276,0.22253,0.203794,0.171516,0.166883
bot,0.372321,0.2658,0.151501,0.111016,0.099362
bot,0.37933,0.209689,0.166845,0.12553,0.118606
bot,0.720477,0.223061,0.025641,0.017606,0.013215
bot,0.380259,0.280917,0.229704,0.066995,0.042126
bot,0.615917,0.173442,0.089642,0.069613,0.051386
bot,0.787835,0.162359,0.034679,0.007874,0.007253
bot,0.517162,0.27625,0.07549,0.069355,0.061743
bot,0.376528,0.24361,0.152467,0.115234,0.112161
bot,0.338755,0.29249,0.235677,0.117837,0.01524
bot,0.428117,0.281338,0.147897,0.107097,0.035552
bot,0.409434,0.389401,0.083671,0.059868,0.057625
bot,0.377766,0.331353,0.177482,0.066564,0.046835
bot,0.781813,0.07376,0.07112,0.054416,0.018891
bot,0.409797,0.252412,0.143327,0.098174,0.096291
bot,0.308188,0.247861,0.20334,0.15443,0.086181
bot,0.332059,0.24309,0.22523,0.118118,0.081503
bot,0.922139,0.067477,0.007933,0.001714,0.000737
bot,0.477688,0.287305,0.124828,0.060389,0.04979
bot,0.819184,0.129507,0.041136,0.007331,0.002842
bot,0.454288,0.35193,0.11421,0.058844,0.020728
bot,0.569789,0.180614,0.11088,0.105479,0.033239
bot,0.341542,0.226167,0.187142,0.132663,0.112487
bot,0.322785,0.209312,0.171302,0.152595,0.144006
bot,0.372599,0.266111,0.151405,0.135436,0.074449
bot,0.525739,0.177397,0.147362,0.080962,0.06854
bot,0.59754,0.246699,0.091174,0.040023,0.024564
bot,0.211632,0.211259,0.209415,0.189769,0.177925
bot,0.426713,0.23266,0.175228,0.125319,0.04008
